,Aircraft Model,Empty Weight (kg),Maximum Takeoff Weight (kg),Maximum Landing Weight (kg),Center of Gravity Limits,Wing Loading (kg/m²),Tail Loading (kg/m²),Fuel Capacity (liters),Number of Passengers,Cargo Capacity (kg),Maximum Altitude (ft),Maximum Speed (knots),Engine Type,Fuselage Length (m)
11,Embraer E190,2495.6430377257734,5836.689349434194,4583.419962153304,20%-35% of MAC,718.5504794364007,32.82547810249246,182959.79078299896,404,44385.05868994946,42390,493,Turbofan,57.190279046676174
12,Boeing 777,9627.27889285369,44711.35301133316,22145.131648531707,35%-45% of MAC,936.112348871389,166.92853742305542,313036.36654883774,82,28628.58946526372,31104,639,Turbofan,64.82631069974298
13,Gulfstream G650,271538.7515529322,1134083.4071441088,828551.5823245395,20%-40% of MAC,585.202658724445,48.56296733964345,382767.3253662649,155,84411.14489513062,39158,620,Turbofan,12.883708428309848
14,Boeing 747-8,263417.9526521871,1048978.327617133,278481.6546342369,20%-35% of MAC,814.8134551665698,175.36335591294102,332707.003136167,62,40270.64197345074,48559,695,Piston,54.40970861366502
15,Embraer E190,260825.1732545028,848175.9953226759,536397.8950636918,20%-40% of MAC,608.4879315264845,180.0216307930301,288729.0678026232,280,42820.2433425884,58151,430,Piston,92.2162911462986
16,Boeing 777,61954.20922400132,255215.7506732272,63284.36341383142,15%-30% of MAC,787.9258961256942,99.44724238454224,194965.57357157508,280,24974.371179678885,54939,642,Piston,54.14448200790279
17,Boeing 747-8,56171.64917641255,150149.7402068956,86771.96083337777,20%-40% of MAC,989.8955306019228,147.98053141722588,369367.97495831904,431,90585.61592205788,45947,677,Piston,75.15506689906222
18,Gulfstream G650,87328.65161903122,126282.63823902114,110600.78329129943,20%-40% of MAC,753.1757979282198,119.02847359695346,180647.84902874415,485,57066.1725228622,37778,553,Piston,10.393573306283365
19,Bombardier Global 6000,237882.2316623644,751677.5494910723,474805.5932790846,35%-45% of MAC,718.3040824866183,159.8171346562562,404029.0322516315,283,59552.286991663954,25559,640,Turbofan,29.561067948516243
20,Gulfstream G650,109274.96314060912,237477.88756456604,215546.0075129977,25%-35% of MAC,273.04840385573505,160.57890869860793,318936.05452794046,378,77962.73110122788,57522,526,Piston,65.63540047853937
21,Airbus A320,222657.30600721025,297536.9598695464,225127.175677984,20%-40% of MAC,579.1929051446004,185.60998250282933,477412.1190526626,211,20923.77074696369,22653,460,Turbofan,40.22345042554383
22,Cessna 172,142428.64833410503,190057.3545566048,145044.19424957622,20%-40% of MAC,338.04049224932726,68.69379988246754,6975.723107625495,231,44395.50779057682,22334,422,Turbofan,80.68917436522342
23,Boeing 737-800,67170.52993194005,307906.6814607923,95354.69147697062,35%-45% of MAC,961.9864518242076,115.11784230556528,360500.3139989706,324,19220.082851297186,43164,659,Turbofan,86.23995779598954
24,Airbus A380,273322.5535076642,372857.166808489,350871.2052450684,25%-35% of MAC,890.7613274334732,178.35407422928247,460568.45151322446,223,73035.13978116112,27608,561,Turbofan,85.02006332950533
25,Cessna 172,87848.11525797179,178545.49984301665,168625.07107484888,15%-30% of MAC,545.271042305135,133.9632984104637,224988.44356048896,319,98955.9698973559,38127,621,Turbofan,22.09680673201499
26,Boeing 777,12679.916895515147,63225.42866742374,47313.08583077461,20%-40% of MAC,915.004218598186,69.15672281479927,434425.0236641649,202,87633.61595364095,27688,575,Turboprop,31.137123317362292
27,Airbus A380,167678.51902535566,614771.3864597076,526098.344926799,25%-35% of MAC,369.1923987739214,83.5484292968263,258539.2535527589,313,60663.103208153385,56155,416,Piston,79.40735188073468
28,Bombardier Global 6000,158763.83816566734,687157.7832588626,354354.8696630996,15%-30% of MAC,419.2487060717343,44.81497867015666,297241.9379275978,444,68819.82784986557,42417,545,Turbofan,48.677297809853584
29,Cessna 172,34127.816460096925,89446.2426279656,88402.30912887125,20%-35% of MAC,471.8257325667272,74.97465212560002,474463.5902311801,404,94283.54509544988,48418,555,Turbofan,28.86389859864193
30,Cessna 172,132178.06644245895,301610.7963233505,273572.254686779,15%-30% of MAC,763.3991640069302,71.72036622533712,490232.99664420495,427,39090.102634964656,25565,572,Turboprop,81.0240058443002
31,Embraer E190,84254.68683042255,313250.6674074014,163251.56076808576,35%-45% of MAC,207.75785200285029,118.45720891576411,369066.8074506348,59,9633.298241540488,43114,615,Piston,87.01863276476323
32,Gulfstream G650,294682.02969460754,1224676.7770185976,1107832.7441954273,35%-45% of MAC,683.0415493270414,123.07197578701116,104330.5374254382,256,53508.12774132196,56608,430,Piston,13.646284136207267
33,Bombardier Global 6000,71263.01194973211,138272.36563522805,111325.3948390357,25%-35% of MAC,300.0414323689349,173.02074505697732,354422.0728923539,421,52027.54765100968,42795,521,Turbofan,91.7604028098574
34,Cessna 172,294846.24202459067,1153376.861373974,845584.58588222,25%-35% of MAC,572.8179803922601,35.082745510554695,396833.32092243264,250,21315.127373177336,26007,466,Turbofan,85.38853818021623
35,Airbus A320,114245.91307080316,564646.8684683976,436494.58440339885,20%-35% of MAC,749.698130533875,63.25892779607655,83946.61546033062,384,69566.07580139932,52581,641,Piston,82.89496957831145
36,Cessna 172,290981.79442000296,632268.0484408997,294267.0948998535,25%-35% of MAC,251.7894331840176,83.82212448464192,294799.52824076783,206,34185.159151661705,45733,407,Piston,56.520977082270186
37,Boeing 777,194926.82152203948,370878.1751288415,337766.3301671132,20%-35% of MAC,313.716375065608,20.37429211579103,308040.1764015612,392,97808.47765264146,48134,439,Piston,86.63742666694505
38,Boeing 737-800,42475.21116067344,95713.61811271736,65201.42031910801,25%-35% of MAC,673.8389078530564,144.9276280584013,188421.13966333115,344,85094.11880345525,21328,596,Piston,92.02256806818784
39,Embraer E190,193639.95218402988,450637.11024777376,310018.9662378395,20%-40% of MAC,959.1979489788456,180.52794506356227,174702.3238026844,146,4580.791169236803,22751,527,Turboprop,63.76575088768259
40,Gulfstream G650,228766.4736491944,375029.7106087988,237158.79920618556,20%-40% of MAC,232.58174267672737,170.8546286256238,296245.5125443963,324,60143.84132752462,25160,637,Piston,61.57677435454355
41,Airbus A380,203006.29412799465,555916.0560528546,217108.10235501197,15%-30% of MAC,988.1798036553,41.38980681923768,419956.5997549652,297,42140.34714120686,32896,548,Turboprop,41.276069523436696
42,Embraer E190,240721.45858785024,593982.128042712,538896.4922501178,20%-35% of MAC,947.4825030839392,44.1241993784536,375321.7099088452,418,2419.9871159907707,31007,408,Turbofan,82.05297590427601
43,Beechcraft King Air 350,117351.82206459834,205528.35607335388,203614.4480534624,15%-30% of MAC,693.6607281328145,185.63181721690208,170520.50379872098,112,71741.33672206984,21024,403,Turbofan,49.31545539202329
44,Boeing 777,207248.5209643744,333173.13947759895,209150.663848192,15%-30% of MAC,989.8081964417886,72.85659355635858,133483.22562237902,358,2646.943615685687,46445,580,Turbofan,40.383524901839735
45,Airbus A380,70860.64666169003,331843.392046061,319814.8245628021,35%-45% of MAC,415.1726400522345,99.0887059365116,331313.5908431356,69,5153.200099193776,36492,418,Piston,99.12397556861974
46,Beechcraft King Air 350,113575.60218083396,254888.3100208236,229929.2738913537,35%-45% of MAC,422.8047609507093,56.40829693788861,240145.27683926237,354,21410.759892747963,49893,600,Piston,74.51457091629729
47,Gulfstream G650,207145.7443878826,226415.12581160403,211649.9945360221,20%-40% of MAC,235.3882720927915,130.3009057133558,208538.8820976721,483,44333.92399608952,20458,513,Piston,34.71847236092623
48,Boeing 737-800,141931.7050919236,259812.0880054612,231293.56552620628,35%-45% of MAC,616.8451057298025,31.154422891143756,76055.5862669269,319,98542.02615710734,22459,408,Turbofan,99.7215652219167
49,Gulfstream G650,291871.5478867166,455294.4665595086,395352.56895522727,20%-35% of MAC,370.3802483736124,51.990590331806615,232283.5050215961,418,40524.33485514702,54709,400,Turboprop,98.47486507800372
50,Boeing 777,90990.69615146406,219482.6631356112,105354.40143131204,35%-45% of MAC,928.2879970469324,190.97650079222328,424020.0839627335,187,17905.68292947525,22823,500,Turboprop,92.78923107093982
51,Airbus A380,287111.08112521167,413096.2653155625,379417.2282574956,15%-30% of MAC,942.030494395324,138.2820099769026,195199.14588910912,343,71975.01895636895,26383,442,Turbofan,15.724515329292668
52,Airbus A380,114367.49569937392,517542.3763672109,482934.6138203414,35%-45% of MAC,371.7307218991852,22.2255585263184,463358.76650614943,349,24593.82601524709,34592,420,Turboprop,81.75871066782129
53,Boeing 737-800,243914.24672797823,571257.1918281396,246624.3984079468,20%-35% of MAC,285.31749411303826,149.12095605387964,120501.0439496114,342,55157.80128453574,51113,534,Piston,18.57078529233398
54,Gulfstream G650,86405.6024616559,267283.37678644835,233437.9782627801,25%-35% of MAC,981.3406896812388,80.12593903751574,454389.8059752093,451,38722.61343928664,52270,414,Turbofan,13.865183502603552
55,Boeing 737-800,8457.299852226668,31679.4725233893,20284.319765274144,15%-30% of MAC,739.2984892320915,102.9495662698827,480425.09414042765,458,90786.93644956876,33938,621,Turbofan,58.95589273938709
56,Embraer E190,75218.65117826946,238473.7651316781,173297.02613805048,15%-30% of MAC,917.1731842128756,85.04875909974211,253804.28783617617,101,10787.945967584988,25967,416,Turboprop,11.98913111108388
57,Airbus A380,198907.751037864,294007.6732932902,234637.69731197087,25%-35% of MAC,336.1165189502882,21.58581300294744,320688.8173995317,80,84721.81853433812,32213,581,Turboprop,89.71850754219531
58,Beechcraft King Air 350,127128.15349164732,188362.9243553816,171919.53665269754,25%-35% of MAC,264.2569210281538,97.03801703458542,13544.972562679914,252,40197.82554364379,26052,620,Turbofan,54.74507257838283
59,Cessna 172,226516.8873709359,296946.1746870333,250320.769674842,20%-40% of MAC,517.7897776132427,119.64502267860507,378503.2716429947,400,4252.7255586523615,51839,697,Turbofan,37.0329723874052
60,Bombardier Global 6000,29756.39082045794,65537.6556418901,58866.497192059294,20%-35% of MAC,499.49017575868464,68.44587854989891,153534.66779144065,283,66660.46239039784,43901,525,Turbofan,12.311422315394369
61,Embraer E190,202962.8706539327,704528.6482911794,550855.4029748924,15%-30% of MAC,828.6648242941216,88.34111151739273,103747.76141766224,365,16180.14941843518,24754,424,Turbofan,64.21976519628842
62,Boeing 747-8,89917.16666799883,377670.5195434413,348572.3964475411,25%-35% of MAC,548.6877411718247,193.59597905625787,298328.39412773703,97,28100.266236171425,35790,540,Piston,78.24071304490828
63,Boeing 747-8,218129.21849151645,745591.7552172191,542275.3746099563,35%-45% of MAC,684.0364552008198,67.85509681075311,474818.2255198693,404,30692.93839839807,25475,557,Turboprop,80.46269406103328
64,Cessna 172,144791.11696335897,549692.4086034661,405622.92786213406,20%-40% of MAC,570.2269518272024,148.66957967348617,427989.90988426376,393,71798.56839684791,23754,624,Piston,26.80642067178958
65,Bombardier Global 6000,160161.98788387503,416163.9854197394,344162.5121146315,25%-35% of MAC,501.8048725191704,67.34912031169463,433979.9126812936,213,98915.6038441627,57066,556,Piston,39.98864926379092
66,Boeing 737-800,203998.1204671228,1011519.6720703812,776458.5563115056,25%-35% of MAC,936.0560999536292,180.26990076148013,36655.65612857368,412,4960.957318532664,40434,525,Turboprop,16.79399158775645
67,Gulfstream G650,117098.95967151552,262696.68886377034,183045.18144163617,25%-35% of MAC,886.1163321431816,169.39331945943655,69727.18668976185,101,11754.7899510348,23551,469,Piston,28.812584943445792
68,Boeing 747-8,144729.0457253975,623631.1783247595,601055.6642321027,35%-45% of MAC,436.0420870661831,93.48845231014488,265012.462002713,429,27775.7773387362,23959,448,Piston,83.31605259562195
69,Embraer E190,38967.76733411655,46573.725489612,42451.42544092033,15%-30% of MAC,258.10502839080937,45.72284731512417,446524.829430032,102,54586.92274388724,41978,491,Piston,69.40910668112876
70,Beechcraft King Air 350,26256.1042232337,98264.01547441764,92621.69046985588,35%-45% of MAC,201.5555805531037,146.11838327540434,355333.6995953571,311,81836.77909382703,36490,517,Turbofan,91.25495363872857
71,Beechcraft King Air 350,241933.01116080253,655106.5401669524,373447.0159936851,35%-45% of MAC,339.116317015824,154.27099956397151,113795.52225937293,349,65984.68033913712,38294,490,Turbofan,64.50537607471554
72,Bombardier Global 6000,263596.69037600624,416009.19760286494,401638.0452389326,20%-40% of MAC,556.257637326799,176.04051711955765,83304.25651610525,169,37157.41848619015,21950,455,Piston,65.75650596694484
73,Boeing 737-800,66526.59800203782,285476.1078561528,237030.2477765404,35%-45% of MAC,617.3917481980292,56.364257159372094,369649.48908814177,418,82992.90701497595,43093,619,Turbofan,35.327495597602734
74,Boeing 777,167576.47731478277,790438.4920239109,394773.8880903573,25%-35% of MAC,365.2113806290287,94.8433896938919,83540.5863422575,148,36922.0403803647,36046,472,Piston,37.34653860166427
75,Boeing 777,8829.4767520211,22882.952953161657,10408.172437960708,20%-40% of MAC,544.6033980284102,91.62492997302084,126420.88155129614,234,8068.208254779338,38911,532,Turbofan,95.6245233104224
76,Boeing 737-800,89074.75264507084,245931.36303099067,93482.410478367,35%-45% of MAC,478.7080691584181,106.22676651347992,279650.110839757,244,74287.2879345408,27334,438,Turbofan,80.6969749727722
77,Bombardier Global 6000,280421.5963521887,894871.1969075238,309503.918037935,15%-30% of MAC,983.6946813221084,90.18599323315448,69509.8523059128,105,5219.202830168567,43399,538,Piston,10.170641816274342
78,Airbus A320,192489.45195046408,348752.36536786414,218359.02819821693,20%-40% of MAC,918.8771615115776,173.77421276927072,388039.6396051916,345,82798.14167120612,58302,435,Turboprop,23.16228594228283
79,Gulfstream G650,196715.4221019124,762339.3204704642,724220.0753209903,20%-40% of MAC,877.2405754659796,177.30052254297618,323007.996488078,411,38335.94718008675,52396,540,Piston,88.40627751543488
80,Boeing 747-8,107793.67567529267,173033.8057425624,164211.47975719324,20%-40% of MAC,999.6191594285716,42.59093239902916,166615.31178456498,329,94041.88990921668,54162,427,Piston,45.76720401782624
81,Airbus A320,121403.7015235869,269839.2128188189,188714.5469645456,25%-35% of MAC,421.0488415922959,24.057457389207467,346616.97485914646,390,75259.93977354238,20215,653,Turboprop,10.6758554023986
82,Embraer E190,145398.6379567235,396985.3076853576,239717.49489186192,20%-35% of MAC,672.3290872875418,26.494796649550025,446970.63487749634,277,82927.06991773695,57552,573,Turboprop,67.18896093829349
83,Embraer E190,172498.9239796991,314479.42409532866,181108.52585169495,20%-40% of MAC,673.1406713323474,97.0142338812145,331505.1142069426,280,34853.41344056831,22651,489,Piston,15.682843752851252
84,Cessna 172,231238.6803493471,914935.4227153268,890330.0869201433,20%-40% of MAC,603.7817949888672,76.05528875047213,486811.4303827852,240,83732.88441611605,20653,599,Turboprop,89.65896329445657
85,Cessna 172,154564.97967650014,400481.0234397227,345191.9940586706,20%-40% of MAC,967.0681040275076,93.7670395640152,282549.2828198462,97,78849.45290601975,25218,447,Turboprop,39.744851972036926
86,Gulfstream G650,221629.6500072682,474218.1515247362,420547.1697548462,20%-40% of MAC,804.0080666228434,139.2274820187196,407302.6193860117,401,74229.76183138431,36934,690,Piston,84.41403053052413
87,Bombardier Global 6000,4952.366205575167,12867.330292760806,11569.026208132922,15%-30% of MAC,263.8089825117515,156.16318046154714,373370.5498680589,131,22227.288105856813,58399,457,Piston,49.26501998546304
88,Cessna 172,158555.4609395142,220969.04659386165,173973.33611150106,20%-40% of MAC,210.92467046633453,127.2810531326447,374318.7380920313,195,38525.68821999357,29838,660,Turbofan,82.39207744395148
89,Gulfstream G650,293576.7479492072,1425658.9468495788,886626.6534826818,20%-35% of MAC,475.2079893964018,38.03164990691818,220058.95732334265,393,52387.59975014324,23939,534,Piston,45.73310358992741
90,Airbus A380,133843.7831812032,387297.6641377154,343106.3652493528,20%-35% of MAC,267.3911291622575,188.9885513715313,379712.70820232446,201,58202.17318863379,43805,609,Turboprop,16.01865062812724
91,Embraer E190,38071.222526999016,142237.1981084862,110292.38966106494,20%-40% of MAC,273.3177322404358,196.32339255484925,252759.54132788515,341,49239.33769971898,34758,558,Piston,68.31306323014115
92,Boeing 777,200987.0866189949,612520.7713330715,207230.34419189804,15%-30% of MAC,302.06702679422807,188.3855214651605,391616.1456691805,231,30737.70979777383,53127,648,Turbofan,90.00129895781974
93,Beechcraft King Air 350,266282.4252341812,458421.22721357073,455729.81721432897,20%-40% of MAC,809.4050431269546,110.2495242164904,305579.0063387328,265,18118.42570197353,54282,608,Turboprop,94.26558964240192
94,Embraer E190,234560.0328338068,875190.4997249495,267103.0737880976,25%-35% of MAC,506.8018807654745,109.63268063219036,456705.904215768,332,60091.43962045427,38834,579,Turboprop,89.37453934645033
95,Embraer E190,29949.73917918193,79925.87128678145,77412.1202426491,20%-35% of MAC,362.9761270984817,139.81656788762638,108879.12473206718,456,65207.70595629089,38926,406,Turbofan,65.06493726741587
96,Embraer E190,233727.64547290775,706975.6270025483,422129.4691885072,15%-30% of MAC,801.9012385871793,41.83246896285057,17123.861401536094,160,75404.3016444628,52403,492,Turbofan,29.879851717737434
97,Boeing 747-8,203641.918875305,648742.3290941553,358599.7539057592,15%-30% of MAC,703.4384839905082,197.5274845886885,158759.51527014762,430,5527.298144196044,22497,593,Turboprop,81.98988620069434
98,Boeing 737-800,71971.43940174147,255439.79652794125,200295.85558977196,20%-35% of MAC,372.79481883872666,134.04078697542286,258826.19742815715,432,13971.382862495531,28347,541,Turbofan,59.031916269268464
99,Airbus A380,180065.18896085722,575545.6698275435,417448.3984078256,20%-35% of MAC,811.2343182253665,129.94851797277727,373299.6609695112,376,43083.86431014732,24330,591,Turboprop,30.678775833857003
100,Cessna 172,193614.553344496,780067.2044399092,380885.0976190956,20%-40% of MAC,663.6486609963928,78.84083784891604,31073.704628121017,210,96114.67773467352,40065,492,Turboprop,30.9619711744091
101,Boeing 747-8,22224.03039718085,62584.4937076096,57071.91413093096,20%-40% of MAC,914.188232567038,61.03102242731896,195968.6451582856,331,78950.99799751796,44880,669,Piston,75.33232568390697
102,Boeing 737-800,174221.85256761216,774741.0286344673,404286.31195306825,20%-40% of MAC,266.4141055561832,84.43500366185225,432248.68157243,175,4185.642393306728,38898,666,Piston,50.81499970744588
103,Gulfstream G650,13862.292254842663,41847.30278250356,37356.68777140205,20%-35% of MAC,495.3138125328931,185.8979353456824,189656.43620586235,476,79922.37230715492,39571,532,Turbofan,72.96085662128681
104,Airbus A380,212557.74342765196,939727.17968107,415319.2377872152,35%-45% of MAC,997.8998329605176,93.69959782098566,310503.5469344463,442,78434.44433104557,20903,683,Piston,29.51711568252669
105,Airbus A380,250913.65771646844,610255.272612911,349122.9931288415,20%-40% of MAC,535.3569755910999,62.89381924934601,228425.3669698855,193,13859.433483665603,49424,612,Turboprop,21.75543804741647
106,Airbus A380,270999.9752737186,797724.853046525,444169.0929186728,20%-40% of MAC,889.6142968233629,124.05403344000548,414842.14402931527,50,20372.22635443702,45921,426,Turbofan,88.65444546158135
107,Boeing 747-8,171582.31202895727,384823.712818828,321310.268118552,35%-45% of MAC,583.1639044920125,60.14498558100203,299078.2222086673,109,70846.6317755711,31028,458,Turbofan,42.49137085829588
108,Airbus A320,206966.9374689312,366401.803004095,314127.95094013,15%-30% of MAC,523.6114930789361,53.07864003784146,126877.37588913272,165,59783.65686406163,55509,491,Turbofan,23.035078998066997
109,Bombardier Global 6000,106794.6349597372,507530.2088239008,239356.8262693881,20%-35% of MAC,674.2828785063866,144.49706020347787,454041.0446620252,437,65508.3980690407,23006,506,Turbofan,40.73760773712636
110,Gulfstream G650,205254.76011708565,638899.8919527156,549925.3485373035,35%-45% of MAC,807.3796363841648,165.7566762543455,284910.28887868964,64,82560.06062669518,52270,436,Turboprop,84.64125751763667
111,Boeing 737-800,90766.44113823598,330048.1399010356,220649.37676251403,15%-30% of MAC,797.8148680567892,142.09717499269755,147707.7653704555,110,7983.019880995622,36264,662,Turbofan,26.42279124482373
112,Airbus A380,212802.6261776201,1020791.0420109584,657942.8893268475,20%-35% of MAC,478.2438769386017,106.31971859318824,198627.7110418604,96,11346.700821486767,53013,454,Piston,28.16798276662378
113,Boeing 747-8,171908.35267646104,312348.7494798838,196332.4898296756,20%-35% of MAC,984.9358311005176,135.7218021609413,481180.0758179522,320,6306.8782063476,57310,634,Turboprop,86.33324645203247
114,Gulfstream G650,44165.84355645391,135395.81630996458,82424.54985733396,25%-35% of MAC,958.7120220625568,159.80989620087894,279557.8691672574,302,51932.315953757614,46722,611,Turbofan,52.252512372360805
115,Boeing 737-800,271539.69380253454,525409.3108454251,516515.2143077017,35%-45% of MAC,958.7103390713938,142.07947639846097,120880.38320774678,228,89339.6857020414,56390,613,Piston,93.16510520642684
116,Boeing 747-8,24259.64169119009,54638.04578981784,35510.63379091247,20%-40% of MAC,851.0997433060097,37.94639203922323,459447.0177625151,138,15664.564216976303,44745,530,Piston,19.05076450189144
117,Gulfstream G650,139422.4394063607,508772.6499765082,500415.1472170152,35%-45% of MAC,983.764908660004,47.56463593381149,14916.87927471069,228,30110.80820450179,30910,675,Turboprop,75.70692657122054
118,Boeing 777,16277.90237368983,25984.517055554606,22495.716461510307,20%-40% of MAC,917.1240845987844,68.38877659443023,400923.3248771102,200,95177.73588384944,37843,534,Turbofan,66.80759958351106
119,Boeing 747-8,141538.752513944,356152.52944057225,243694.37786975148,35%-45% of MAC,996.3821590585148,169.4231043604034,16215.45851864338,105,64756.693210980775,21875,470,Piston,21.068516722671028
120,Cessna 172,96228.50097606602,317789.19701640354,301825.54796727054,20%-40% of MAC,331.7632704332829,21.0153223500844,457358.65217578807,185,41253.47625462376,29162,621,Turbofan,37.692849865372125
121,Boeing 737-800,69768.07467369703,189067.4685874159,108462.10957602886,15%-30% of MAC,472.2759491909604,131.8393592829034,32436.13943677857,405,22042.72928335215,28270,532,Turboprop,30.202086075259544
122,Cessna 172,254366.75705184968,1220956.939607044,687008.3548853745,20%-40% of MAC,958.0624169080952,24.29743081064817,380695.4666948156,213,83877.86421565787,46695,459,Turboprop,87.95695041347814
123,Boeing 747-8,257645.1644635248,1073181.9801789357,1071289.152707072,25%-35% of MAC,505.7165227731968,108.72765477269856,408988.84959826025,111,19134.355347923574,44068,693,Turbofan,38.06432353735589
124,Gulfstream G650,7469.20473993678,35376.358657086246,31238.872699185336,20%-40% of MAC,985.83039573829,129.7641528556772,259011.73824207744,368,24058.040243916108,39602,693,Turboprop,45.995739751861045
125,Cessna 172,119619.28056247086,217594.3251249952,187574.25732508785,25%-35% of MAC,931.6538187401987,113.1107411175882,128072.33623274024,271,94149.21756097508,37918,432,Turboprop,20.601003348473963
126,Boeing 777,152113.64464173242,324749.77160497574,323815.91373550065,15%-30% of MAC,508.958116940978,109.15264647637592,291074.8846842557,128,23032.656997835456,22365,454,Turbofan,28.069038773456143
127,Embraer E190,29482.072076554585,81563.32274109407,52627.70057247493,25%-35% of MAC,489.87423576163394,156.76520639722597,422413.2155305242,176,83877.71068718848,57324,524,Turboprop,48.57408545506549
128,Boeing 737-800,84464.65152187333,396126.7898940455,291921.0794181111,35%-45% of MAC,784.3165466536155,21.810265651460934,227500.04965886963,304,7464.785257850712,25671,588,Turbofan,45.00097799709285
129,Airbus A320,230545.3324819033,481289.65838217805,417748.28934814414,35%-45% of MAC,604.506617047617,140.57447730043867,139608.03486962285,333,86893.53302999077,48039,697,Piston,18.19389220638788
130,Boeing 737-800,291263.6558143221,467464.8512862384,352618.39605113765,35%-45% of MAC,277.6679416803313,97.2843091407865,431404.42428453953,108,56774.45414116676,37192,619,Turboprop,36.64278718527886
131,Airbus A380,96652.67167786568,316177.6202703784,308284.08997076773,20%-40% of MAC,278.52922745782,82.28769625020193,126493.99764804712,94,95487.66456592496,55055,439,Turboprop,56.81656044938597
132,Boeing 747-8,177251.5772892709,532482.9681377,247347.8641412274,20%-40% of MAC,422.003045158072,145.12308435166074,98893.4209681467,58,69428.67973862702,36914,683,Turboprop,95.9472897367936
133,Beechcraft King Air 350,48312.58569638286,238076.854860508,149323.92154738135,35%-45% of MAC,673.7487685033641,80.58529474701372,169339.30228506084,110,24572.98460007889,32250,673,Piston,46.20215252864198
134,Airbus A380,255804.3720417116,374851.9900211546,297760.26128978014,20%-35% of MAC,319.66348035469457,104.66675801173407,438471.0782837735,374,15822.542982600904,41760,443,Turbofan,73.06418929272652
135,Boeing 777,253175.70456984156,779234.8458521919,689199.9518092484,15%-30% of MAC,569.9780782777482,193.09535299431468,412631.604038867,216,68558.17619667957,30303,551,Turboprop,52.50432018721595
136,Boeing 777,36031.34801739943,103009.91415370378,66427.79266550821,20%-35% of MAC,893.0404097775718,125.40030484356174,380705.3502349692,500,71043.48099312253,30757,664,Turbofan,29.915082821283026
137,Bombardier Global 6000,120242.23251862756,485804.4446271537,146545.45509408726,20%-40% of MAC,968.728911450829,45.46469617318508,64851.48307641733,86,17470.299399648033,40397,543,Piston,17.905412188007055
138,Gulfstream G650,212765.18209264087,422551.7042839578,297893.86260722514,15%-30% of MAC,460.0543627302403,89.8940282260283,19320.26974761797,148,70274.54127202914,31692,695,Turbofan,46.017096092185255
139,Beechcraft King Air 350,192813.65900111795,394328.44139093766,377272.9209419617,20%-35% of MAC,605.9023796213337,150.5634282316948,14943.764013730157,308,90928.8671676111,52164,473,Piston,98.37127287916933
140,Boeing 737-800,212055.7942437841,809745.697813818,740275.8287884304,20%-40% of MAC,272.64979772878945,111.25131810215302,135458.06274422974,493,81554.30069532336,45715,545,Turboprop,46.7701104370733
141,Airbus A320,238517.95989000643,447014.8427580876,271926.5215467777,20%-40% of MAC,478.4775901593646,156.72317323148462,311558.7079777246,189,82262.91361629027,40363,486,Piston,37.79430178191185
